date,City Hall,Exchange Place,Hamilton Park,Sip Ave_x,Christ Hospital,Baldwin at Montgomery,Warren St,Newport PATH,Newark Ave,Brunswick St,Newport Pkwy,Bayside Park,Grove St PATH,Riverview Park,Essex Light Rail,Paulus Hook,Columbia Park,Heights Elevator,NJCU,MLK Light Rail,5 Corners Library,Dey St,Oakland Ave,Hilltop,Van Vorst Park,McGinley Square,Central Ave,JC Medical Center,North St,Lincoln Park,Liberty Light Rail,West Side Light Rail,Pershing Field,Garfield Ave Station,Union St,Jersey & 6th St,Morris Canal,Jersey & 3rd,Lafayette Park,Monmouth and 6th,Dixon Mills,Marin Light Rail,Manila & 1st,Columbus Drive,Bethune Center,Leonard Gordon Park,Danforth Light Rail,Brunswick & 6th,Astor Place,JCBS Depot,Communipaw & Berry Lane,York St,Harborside,Washington St,Journal Square,Montgomery St,Glenwood Ave,Fairmount Ave,Bergen Ave,Grand St,Jackson Square,Sip Ave_y,Hoboken Ave at Monmouth St,Columbus Dr at Exchange Pl
2015-10-21,22.0,71.0,63.0,44.0,13.0,14.0,31.0,49.0,30.0,43.0,40.0,2.0,89.0,10.0,30.0,36.0,0.0,5.0,6.0,0.0,8.0,3.0,11.0,18.0,38.0,17.0,7.0,19.0,9.0,10.0,13.0,1.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0
2015-10-22,16.0,54.0,55.0,42.0,12.0,14.0,26.0,55.0,29.0,40.0,35.0,1.0,93.0,9.0,40.0,22.0,1.0,5.0,1.0,0.0,11.0,3.0,11.0,13.0,28.0,12.0,10.0,15.0,2.0,11.0,19.0,10.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0
2015-10-23,22.0,40.0,56.0,55.0,12.0,13.0,24.0,51.0,23.0,32.0,25.0,1.0,85.0,5.0,29.0,22.0,1.0,2.0,3.0,1.0,10.0,8.0,14.0,9.0,34.0,16.0,6.0,14.0,6.0,12.0,14.0,3.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0
2015-10-24,12.0,35.0,37.0,27.0,6.0,10.0,24.0,36.0,34.0,18.0,35.0,2.0,48.0,5.0,25.0,16.0,1.0,9.0,0.0,1.0,12.0,4.0,4.0,4.0,33.0,12.0,5.0,11.0,3.0,4.0,11.0,1.0,8.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0
2015-10-25,22.0,31.0,33.0,20.0,7.0,16.0,26.0,33.0,30.0,24.0,24.0,1.0,51.0,3.0,19.0,22.0,0.0,2.0,2.0,0.0,6.0,6.0,7.0,10.0,27.0,15.0,0.0,21.0,10.0,5.0,19.0,2.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
2015-10-26,14.0,63.0,53.0,46.0,11.0,14.0,23.0,62.0,32.0,32.0,26.0,2.0,92.0,6.0,35.0,24.0,2.0,3.0,3.0,1.0,6.0,5.0,16.0,11.0,25.0,21.0,5.0,8.0,0.0,10.0,13.0,2.0,15.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0
2015-10-27,24.0,63.0,45.0,37.0,17.0,11.0,22.0,41.0,34.0,39.0,25.0,1.0,84.0,3.0,33.0,27.0,1.0,6.0,7.0,0.0,11.0,7.0,10.0,14.0,24.0,12.0,7.0,12.0,1.0,6.0,8.0,1.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0
2015-10-28,12.0,16.0,42.0,22.0,3.0,11.0,12.0,23.0,16.0,26.0,12.0,0.0,42.0,0.0,23.0,8.0,0.0,4.0,1.0,1.0,1.0,6.0,10.0,2.0,20.0,13.0,8.0,7.0,0.0,5.0,3.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0
2015-10-29,15.0,61.0,49.0,54.0,13.0,12.0,25.0,53.0,31.0,42.0,34.0,0.0,95.0,5.0,31.0,12.0,1.0,4.0,3.0,0.0,9.0,7.0,20.0,15.0,26.0,18.0,9.0,9.0,0.0,12.0,8.0,2.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0
2015-10-30,25.0,54.0,52.0,37.0,11.0,22.0,25.0,55.0,34.0,39.0,22.0,1.0,91.0,7.0,35.0,25.0,1.0,2.0,1.0,0.0,8.0,4.0,18.0,7.0,30.0,17.0,6.0,17.0,0.0,10.0,14.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0
