,year,st1,st2
8890,2019,Dey St,Lafayette Park
8891,2019,Dey St,Leonard Gordon Park
8892,2019,Dey St,Liberty Light Rail
8893,2019,Dey St,Lincoln Park
8894,2019,Dey St,Manila & 1st
8895,2019,Dey St,Marin Light Rail
8896,2019,Dey St,McGinley Square
8897,2019,Dey St,Montgomery St
8898,2019,Dey St,Newark Ave
8899,2019,Dey St,Newport PATH
8900,2019,Dey St,Newport Pkwy
8901,2019,Dey St,Oakland Ave
8902,2019,Dey St,Paulus Hook
8903,2019,Dey St,Pershing Field
8904,2019,Dey St,Riverview Park
8905,2019,Dey St,Sip Ave
8906,2019,Dey St,Union St
8907,2019,Dey St,Van Vorst Park
8908,2019,Dey St,Warren St
8909,2019,Dey St,Washington St
8910,2019,Dey St,York St
8911,2019,Dixon Mills,5 Corners Library
8912,2019,Dixon Mills,Astor Place
8913,2019,Dixon Mills,Baldwin at Montgomery
8914,2019,Dixon Mills,Bergen Ave
8915,2019,Dixon Mills,Broadway & Battery Pl
8916,2019,Dixon Mills,Brunswick & 6th
8917,2019,Dixon Mills,Brunswick St
8918,2019,Dixon Mills,Christ Hospital
8919,2019,Dixon Mills,City Hall
8920,2019,Dixon Mills,Columbus Dr at Exchange Pl
8921,2019,Dixon Mills,Columbus Drive
8922,2019,Dixon Mills,Communipaw & Berry Lane
8923,2019,Dixon Mills,Dey St
8924,2019,Dixon Mills,Dixon Mills
8925,2019,Dixon Mills,Essex Light Rail
8926,2019,Dixon Mills,Exchange Place
8927,2019,Dixon Mills,Fairmount Ave
8928,2019,Dixon Mills,Glenwood Ave
8929,2019,Dixon Mills,Grand St
8930,2019,Dixon Mills,Grove St PATH
8931,2019,Dixon Mills,Hamilton Park
8932,2019,Dixon Mills,Harborside
8933,2019,Dixon Mills,Heights Elevator
8934,2019,Dixon Mills,Hilltop
8935,2019,Dixon Mills,Hoboken Ave at Monmouth St
8936,2019,Dixon Mills,JC Medical Center
8937,2019,Dixon Mills,Jersey & 3rd
8938,2019,Dixon Mills,Jersey & 6th St
8939,2019,Dixon Mills,Journal Square
8940,2019,Dixon Mills,Lafayette Park
8941,2019,Dixon Mills,Leonard Gordon Park
8942,2019,Dixon Mills,Liberty Light Rail
8943,2019,Dixon Mills,Lincoln Park
8944,2019,Dixon Mills,Manila & 1st
8945,2019,Dixon Mills,Marin Light Rail
8946,2019,Dixon Mills,McGinley Square
8947,2019,Dixon Mills,Monmouth and 6th
8948,2019,Dixon Mills,Montgomery St
8949,2019,Dixon Mills,Morris Canal
8950,2019,Dixon Mills,Newark Ave
8951,2019,Dixon Mills,Newport PATH
8952,2019,Dixon Mills,Newport Pkwy
8953,2019,Dixon Mills,Oakland Ave
8954,2019,Dixon Mills,Paulus Hook
8955,2019,Dixon Mills,Pershing Field
8956,2019,Dixon Mills,Riverview Park
8957,2019,Dixon Mills,Sip Ave
8958,2019,Dixon Mills,Union St
8959,2019,Dixon Mills,Van Vorst Park
8960,2019,Dixon Mills,Warren St
8961,2019,Dixon Mills,Washington St
8962,2019,Dixon Mills,York St
8963,2019,Essex Light Rail,5 Corners Library
8964,2019,Essex Light Rail,Astor Place
8965,2019,Essex Light Rail,Baldwin at Montgomery
8966,2019,Essex Light Rail,Bergen Ave
8967,2019,Essex Light Rail,Brunswick & 6th
8968,2019,Essex Light Rail,Brunswick St
8969,2019,Essex Light Rail,Christ Hospital
8970,2019,Essex Light Rail,City Hall
8971,2019,Essex Light Rail,Columbus Dr at Exchange Pl
8972,2019,Essex Light Rail,Columbus Drive
8973,2019,Essex Light Rail,Communipaw & Berry Lane
8974,2019,Essex Light Rail,Dixon Mills
8975,2019,Essex Light Rail,Essex Light Rail
8976,2019,Essex Light Rail,Exchange Place
8977,2019,Essex Light Rail,Fairmount Ave
8978,2019,Essex Light Rail,Glenwood Ave
8979,2019,Essex Light Rail,Grand St
8980,2019,Essex Light Rail,Grove St PATH
8981,2019,Essex Light Rail,Hamilton Park
8982,2019,Essex Light Rail,Harborside
8983,2019,Essex Light Rail,Heights Elevator
8984,2019,Essex Light Rail,Hilltop
8985,2019,Essex Light Rail,Hoboken Ave at Monmouth St
8986,2019,Essex Light Rail,JC Medical Center
8987,2019,Essex Light Rail,Jackson Square
8988,2019,Essex Light Rail,Jersey & 3rd
8989,2019,Essex Light Rail,Jersey & 6th St
8990,2019,Essex Light Rail,Journal Square
8991,2019,Essex Light Rail,Lafayette Park
8992,2019,Essex Light Rail,Leonard Gordon Park
8993,2019,Essex Light Rail,Liberty Light Rail
8994,2019,Essex Light Rail,Lincoln Park
8995,2019,Essex Light Rail,Manila & 1st
8996,2019,Essex Light Rail,Marin Light Rail
8997,2019,Essex Light Rail,McGinley Square
8998,2019,Essex Light Rail,Monmouth and 6th
8999,2019,Essex Light Rail,Montgomery St
9000,2019,Essex Light Rail,Morris Canal
9001,2019,Essex Light Rail,Newark Ave
9002,2019,Essex Light Rail,Newport PATH
9003,2019,Essex Light Rail,Newport Pkwy
9004,2019,Essex Light Rail,Oakland Ave
9005,2019,Essex Light Rail,Paulus Hook
9006,2019,Essex Light Rail,Sip Ave
9007,2019,Essex Light Rail,Union St
9008,2019,Essex Light Rail,Van Vorst Park
9009,2019,Essex Light Rail,Warren St
9010,2019,Essex Light Rail,Washington St
9011,2019,Essex Light Rail,York St
9012,2019,Exchange Place,5 Corners Library
9013,2019,Exchange Place,Baldwin at Montgomery
9014,2019,Exchange Place,Bergen Ave
9015,2019,Exchange Place,Brunswick & 6th
9016,2019,Exchange Place,Brunswick St
9017,2019,Exchange Place,Christ Hospital
9018,2019,Exchange Place,City Hall
9019,2019,Exchange Place,Columbus Drive
9020,2019,Exchange Place,Communipaw & Berry Lane
9021,2019,Exchange Place,Dey St
9022,2019,Exchange Place,Dixon Mills
9023,2019,Exchange Place,Essex Light Rail
9024,2019,Exchange Place,Exchange Place
9025,2019,Exchange Place,Fairmount Ave
9026,2019,Exchange Place,Glenwood Ave
9027,2019,Exchange Place,Grand St
9028,2019,Exchange Place,Grove St PATH
9029,2019,Exchange Place,Hamilton Park
9030,2019,Exchange Place,Harborside
9031,2019,Exchange Place,Heights Elevator
9032,2019,Exchange Place,Hilltop
9033,2019,Exchange Place,JC Medical Center
9034,2019,Exchange Place,JCBS Depot
9035,2019,Exchange Place,Jackson Square
9036,2019,Exchange Place,Jersey & 3rd
9037,2019,Exchange Place,Jersey & 6th St
9038,2019,Exchange Place,Journal Square
9039,2019,Exchange Place,Lafayette Park
9040,2019,Exchange Place,Leonard Gordon Park
9041,2019,Exchange Place,Liberty Light Rail
9042,2019,Exchange Place,Lincoln Park
9043,2019,Exchange Place,Manila & 1st
9044,2019,Exchange Place,Marin Light Rail
9045,2019,Exchange Place,McGinley Square
9046,2019,Exchange Place,Monmouth and 6th
9047,2019,Exchange Place,Montgomery St
9048,2019,Exchange Place,Morris Canal
9049,2019,Exchange Place,Newark Ave
9050,2019,Exchange Place,Newport PATH
9051,2019,Exchange Place,Newport Pkwy
9052,2019,Exchange Place,Norfolk St & Broome St
9053,2019,Exchange Place,Oakland Ave
9054,2019,Exchange Place,Paulus Hook
9055,2019,Exchange Place,Pershing Field
9056,2019,Exchange Place,Riverview Park
9057,2019,Exchange Place,Sip Ave
9058,2019,Exchange Place,Spruce St & Nassau St
9059,2019,Exchange Place,Union St
9060,2019,Exchange Place,Van Vorst Park
9061,2019,Exchange Place,Warren St
9062,2019,Exchange Place,Washington St
9063,2019,Exchange Place,York St
9064,2019,Fairmount Ave,5 Corners Library
9065,2019,Fairmount Ave,Astor Place
9066,2019,Fairmount Ave,Baldwin at Montgomery
9067,2019,Fairmount Ave,Bergen Ave
9068,2019,Fairmount Ave,Brunswick & 6th
9069,2019,Fairmount Ave,Brunswick St
9070,2019,Fairmount Ave,Christ Hospital
9071,2019,Fairmount Ave,City Hall
9072,2019,Fairmount Ave,Columbus Dr at Exchange Pl
9073,2019,Fairmount Ave,Columbus Drive
9074,2019,Fairmount Ave,Communipaw & Berry Lane
9075,2019,Fairmount Ave,Dey St
9076,2019,Fairmount Ave,Dixon Mills
9077,2019,Fairmount Ave,Essex Light Rail
9078,2019,Fairmount Ave,Exchange Place
9079,2019,Fairmount Ave,Fairmount Ave
9080,2019,Fairmount Ave,Glenwood Ave
9081,2019,Fairmount Ave,Grand St
9082,2019,Fairmount Ave,Grove St PATH
9083,2019,Fairmount Ave,Hamilton Park
9084,2019,Fairmount Ave,Harborside
9085,2019,Fairmount Ave,Heights Elevator
9086,2019,Fairmount Ave,Hilltop
9087,2019,Fairmount Ave,Hoboken Ave at Monmouth St
9088,2019,Fairmount Ave,JC Medical Center
9089,2019,Fairmount Ave,Jackson Square
9090,2019,Fairmount Ave,Jersey & 3rd
9091,2019,Fairmount Ave,Jersey & 6th St
9092,2019,Fairmount Ave,Journal Square
9093,2019,Fairmount Ave,Lafayette Park
9094,2019,Fairmount Ave,Leonard Gordon Park
9095,2019,Fairmount Ave,Liberty Light Rail
9096,2019,Fairmount Ave,Lincoln Park
9097,2019,Fairmount Ave,Manila & 1st
9098,2019,Fairmount Ave,Marin Light Rail
9099,2019,Fairmount Ave,McGinley Square
9100,2019,Fairmount Ave,Monmouth and 6th
9101,2019,Fairmount Ave,Montgomery St
9102,2019,Fairmount Ave,Morris Canal
9103,2019,Fairmount Ave,Newark Ave
9104,2019,Fairmount Ave,Newport PATH
9105,2019,Fairmount Ave,Newport Pkwy
9106,2019,Fairmount Ave,Oakland Ave
9107,2019,Fairmount Ave,Paulus Hook
9108,2019,Fairmount Ave,Pershing Field
9109,2019,Fairmount Ave,Riverview Park
9110,2019,Fairmount Ave,Sip Ave
9111,2019,Fairmount Ave,Union St
9112,2019,Fairmount Ave,Van Vorst Park
9113,2019,Fairmount Ave,Warren St
9114,2019,Fairmount Ave,Washington St
9115,2019,Fairmount Ave,York St
9116,2019,Glenwood Ave,5 Corners Library
9117,2019,Glenwood Ave,Astor Place
9118,2019,Glenwood Ave,Baldwin at Montgomery
9119,2019,Glenwood Ave,Bergen Ave
9120,2019,Glenwood Ave,Brunswick & 6th
9121,2019,Glenwood Ave,Brunswick St
9122,2019,Glenwood Ave,Christ Hospital
9123,2019,Glenwood Ave,City Hall
9124,2019,Glenwood Ave,Columbus Dr at Exchange Pl
9125,2019,Glenwood Ave,Columbus Drive
9126,2019,Glenwood Ave,Communipaw & Berry Lane
9127,2019,Glenwood Ave,Dey St
9128,2019,Glenwood Ave,Dixon Mills
9129,2019,Glenwood Ave,Essex Light Rail
9130,2019,Glenwood Ave,Exchange Place
9131,2019,Glenwood Ave,Fairmount Ave
9132,2019,Glenwood Ave,Glenwood Ave
9133,2019,Glenwood Ave,Grand St
9134,2019,Glenwood Ave,Grove St PATH
9135,2019,Glenwood Ave,Hamilton Park
9136,2019,Glenwood Ave,Harborside
9137,2019,Glenwood Ave,Heights Elevator
9138,2019,Glenwood Ave,Hilltop
9139,2019,Glenwood Ave,Hoboken Ave at Monmouth St
9140,2019,Glenwood Ave,JC Medical Center
9141,2019,Glenwood Ave,Jackson Square
9142,2019,Glenwood Ave,Jersey & 3rd
9143,2019,Glenwood Ave,Jersey & 6th St
9144,2019,Glenwood Ave,Journal Square
9145,2019,Glenwood Ave,Leonard Gordon Park
9146,2019,Glenwood Ave,Liberty Light Rail
9147,2019,Glenwood Ave,Lincoln Park
9148,2019,Glenwood Ave,Manila & 1st
9149,2019,Glenwood Ave,Marin Light Rail
9150,2019,Glenwood Ave,McGinley Square
9151,2019,Glenwood Ave,Monmouth and 6th
9152,2019,Glenwood Ave,Montgomery St
9153,2019,Glenwood Ave,Morris Canal
9154,2019,Glenwood Ave,Newark Ave
9155,2019,Glenwood Ave,Newport PATH
9156,2019,Glenwood Ave,Newport Pkwy
9157,2019,Glenwood Ave,Oakland Ave
9158,2019,Glenwood Ave,Paulus Hook
9159,2019,Glenwood Ave,Pershing Field
9160,2019,Glenwood Ave,Riverview Park
9161,2019,Glenwood Ave,Sip Ave
9162,2019,Glenwood Ave,Union St
9163,2019,Glenwood Ave,Van Vorst Park
9164,2019,Glenwood Ave,Warren St
9165,2019,Glenwood Ave,Washington St
9166,2019,Glenwood Ave,York St
9167,2019,Grand St,12 Ave & W 40 St
9168,2019,Grand St,5 Corners Library
9169,2019,Grand St,Astor Place
9170,2019,Grand St,Baldwin at Montgomery
9171,2019,Grand St,Bergen Ave
9172,2019,Grand St,Brunswick & 6th
9173,2019,Grand St,Brunswick St
9174,2019,Grand St,Christ Hospital
9175,2019,Grand St,City Hall
9176,2019,Grand St,Columbus Dr at Exchange Pl
9177,2019,Grand St,Columbus Drive
9178,2019,Grand St,Communipaw & Berry Lane
9179,2019,Grand St,Dey St
9180,2019,Grand St,Dixon Mills
9181,2019,Grand St,Essex Light Rail
9182,2019,Grand St,Exchange Place
9183,2019,Grand St,Fairmount Ave
9184,2019,Grand St,Glenwood Ave
9185,2019,Grand St,Grand St
9186,2019,Grand St,Greenwich Ave & Charles St
9187,2019,Grand St,Grove St PATH
9188,2019,Grand St,Hamilton Park
9189,2019,Grand St,Harborside
9190,2019,Grand St,Heights Elevator
9191,2019,Grand St,Hilltop
9192,2019,Grand St,Hoboken Ave at Monmouth St
9193,2019,Grand St,JC Medical Center
9194,2019,Grand St,JCBS Depot
9195,2019,Grand St,Jackson Square
9196,2019,Grand St,Jay St & York St
9197,2019,Grand St,Jersey & 3rd
9198,2019,Grand St,Jersey & 6th St
9199,2019,Grand St,Journal Square
9200,2019,Grand St,Lafayette Park
9201,2019,Grand St,Leonard Gordon Park
9202,2019,Grand St,Liberty Light Rail
9203,2019,Grand St,Liberty St & Broadway
9204,2019,Grand St,Lincoln Park
9205,2019,Grand St,Manila & 1st
9206,2019,Grand St,Marin Light Rail
9207,2019,Grand St,McGinley Square
9208,2019,Grand St,Monmouth and 6th
9209,2019,Grand St,Montgomery St
9210,2019,Grand St,Morris Canal
9211,2019,Grand St,Newark Ave
9212,2019,Grand St,Newport PATH
9213,2019,Grand St,Newport Pkwy
9214,2019,Grand St,Oakland Ave
9215,2019,Grand St,Paulus Hook
9216,2019,Grand St,Pershing Field
9217,2019,Grand St,Riverview Park
9218,2019,Grand St,Sip Ave
9219,2019,Grand St,Union St
9220,2019,Grand St,Van Vorst Park
9221,2019,Grand St,Warren St
9222,2019,Grand St,Washington St
9223,2019,Grand St,York St
9224,2019,Grove St PATH,5 Corners Library
9225,2019,Grove St PATH,6 Ave & Canal St
9226,2019,Grove St PATH,Astor Place
9227,2019,Grove St PATH,Baldwin at Montgomery
9228,2019,Grove St PATH,Bergen Ave
9229,2019,Grove St PATH,Brunswick & 6th
9230,2019,Grove St PATH,Brunswick St
9231,2019,Grove St PATH,Christ Hospital
9232,2019,Grove St PATH,City Hall
9233,2019,Grove St PATH,Columbus Dr at Exchange Pl
9234,2019,Grove St PATH,Columbus Drive
9235,2019,Grove St PATH,Communipaw & Berry Lane
9236,2019,Grove St PATH,Dey St
9237,2019,Grove St PATH,Dixon Mills
9238,2019,Grove St PATH,E 20 St & FDR Drive
9239,2019,Grove St PATH,Essex Light Rail
9240,2019,Grove St PATH,Exchange Place
9241,2019,Grove St PATH,Fairmount Ave
9242,2019,Grove St PATH,Gansevoort St & Hudson St
9243,2019,Grove St PATH,Glenwood Ave
9244,2019,Grove St PATH,Grand St
9245,2019,Grove St PATH,Grove St PATH
9246,2019,Grove St PATH,Hamilton Park
9247,2019,Grove St PATH,Harborside
9248,2019,Grove St PATH,Heights Elevator
9249,2019,Grove St PATH,Hilltop
9250,2019,Grove St PATH,Hoboken Ave at Monmouth St
9251,2019,Grove St PATH,JC Medical Center
9252,2019,Grove St PATH,JCBS Depot
9253,2019,Grove St PATH,Jackson Square
9254,2019,Grove St PATH,Jay St & Tech Pl
9255,2019,Grove St PATH,Jersey & 3rd
9256,2019,Grove St PATH,Jersey & 6th St
9257,2019,Grove St PATH,Journal Square
9258,2019,Grove St PATH,Lafayette Park
9259,2019,Grove St PATH,Leonard Gordon Park
9260,2019,Grove St PATH,Liberty Light Rail
9261,2019,Grove St PATH,Lincoln Park
9262,2019,Grove St PATH,Manila & 1st
9263,2019,Grove St PATH,Marin Light Rail
9264,2019,Grove St PATH,McGinley Square
9265,2019,Grove St PATH,Monmouth and 6th
9266,2019,Grove St PATH,Montgomery St
9267,2019,Grove St PATH,Morris Canal
9268,2019,Grove St PATH,Newark Ave
9269,2019,Grove St PATH,Newport PATH
9270,2019,Grove St PATH,Newport Pkwy
9271,2019,Grove St PATH,Oakland Ave
9272,2019,Grove St PATH,Paulus Hook
9273,2019,Grove St PATH,Pershing Field
9274,2019,Grove St PATH,Pershing Square North
9275,2019,Grove St PATH,Riverview Park
9276,2019,Grove St PATH,Sip Ave
9277,2019,Grove St PATH,Union St
9278,2019,Grove St PATH,Van Vorst Park
9279,2019,Grove St PATH,Warren St
9280,2019,Grove St PATH,Washington St
9281,2019,Grove St PATH,York St
9282,2019,Hamilton Park,12 Ave & W 40 St
9283,2019,Hamilton Park,5 Corners Library
9284,2019,Hamilton Park,Astor Place
9285,2019,Hamilton Park,Baldwin at Montgomery
9286,2019,Hamilton Park,Bergen Ave
9287,2019,Hamilton Park,Brunswick & 6th
9288,2019,Hamilton Park,Brunswick St
9289,2019,Hamilton Park,Christ Hospital
9290,2019,Hamilton Park,City Hall
9291,2019,Hamilton Park,Columbus Dr at Exchange Pl
9292,2019,Hamilton Park,Columbus Drive
9293,2019,Hamilton Park,Communipaw & Berry Lane
9294,2019,Hamilton Park,Dey St
9295,2019,Hamilton Park,Dixon Mills
9296,2019,Hamilton Park,Essex Light Rail
9297,2019,Hamilton Park,Exchange Place
9298,2019,Hamilton Park,Fairmount Ave
9299,2019,Hamilton Park,Front St & Maiden Ln
9300,2019,Hamilton Park,Glenwood Ave
9301,2019,Hamilton Park,Grand St
9302,2019,Hamilton Park,Grove St PATH
9303,2019,Hamilton Park,Hamilton Park
9304,2019,Hamilton Park,Harborside
9305,2019,Hamilton Park,Heights Elevator
9306,2019,Hamilton Park,Hilltop
9307,2019,Hamilton Park,Hoboken Ave at Monmouth St
9308,2019,Hamilton Park,JC Medical Center
9309,2019,Hamilton Park,JCBS Depot
9310,2019,Hamilton Park,Jackson Square
9311,2019,Hamilton Park,Jersey & 3rd
9312,2019,Hamilton Park,Jersey & 6th St
9313,2019,Hamilton Park,Journal Square
9314,2019,Hamilton Park,Lafayette Park
9315,2019,Hamilton Park,Leonard Gordon Park
9316,2019,Hamilton Park,Liberty Light Rail
9317,2019,Hamilton Park,Lincoln Park
9318,2019,Hamilton Park,Manila & 1st
9319,2019,Hamilton Park,Marin Light Rail
9320,2019,Hamilton Park,McGinley Square
9321,2019,Hamilton Park,Monmouth and 6th
9322,2019,Hamilton Park,Montgomery St
9323,2019,Hamilton Park,Morris Canal
9324,2019,Hamilton Park,Newark Ave
9325,2019,Hamilton Park,Newport PATH
9326,2019,Hamilton Park,Newport Pkwy
9327,2019,Hamilton Park,Oakland Ave
9328,2019,Hamilton Park,Paulus Hook
9329,2019,Hamilton Park,Pershing Field
9330,2019,Hamilton Park,Riverview Park
9331,2019,Hamilton Park,Sip Ave
9332,2019,Hamilton Park,South St & Gouverneur Ln
9333,2019,Hamilton Park,Union St
9334,2019,Hamilton Park,Van Vorst Park
9335,2019,Hamilton Park,Vesey Pl & River Terrace
9336,2019,Hamilton Park,W 27 St & 10 Ave
9337,2019,Hamilton Park,Warren St
9338,2019,Hamilton Park,Washington St
9339,2019,Hamilton Park,York St
9340,2019,Harborside,5 Corners Library
9341,2019,Harborside,Astor Place
9342,2019,Harborside,Baldwin at Montgomery
9343,2019,Harborside,Bergen Ave
9344,2019,Harborside,Brunswick & 6th
9345,2019,Harborside,Brunswick St
9346,2019,Harborside,Christ Hospital
9347,2019,Harborside,City Hall
9348,2019,Harborside,Columbus Dr at Exchange Pl
9349,2019,Harborside,Columbus Drive
9350,2019,Harborside,Communipaw & Berry Lane
9351,2019,Harborside,Dey St
9352,2019,Harborside,Dixon Mills
9353,2019,Harborside,E 20 St & FDR Drive
9354,2019,Harborside,Essex Light Rail
9355,2019,Harborside,Exchange Place
9356,2019,Harborside,Fairmount Ave
9357,2019,Harborside,Glenwood Ave
9358,2019,Harborside,Grand St
9359,2019,Harborside,Grove St PATH
9360,2019,Harborside,Hamilton Park
9361,2019,Harborside,Harborside
9362,2019,Harborside,Heights Elevator
9363,2019,Harborside,Hilltop
9364,2019,Harborside,Hoboken Ave at Monmouth St
9365,2019,Harborside,JC Medical Center
9366,2019,Harborside,JCBS Depot
9367,2019,Harborside,Jackson Square
9368,2019,Harborside,Jersey & 3rd
9369,2019,Harborside,Jersey & 6th St
9370,2019,Harborside,Journal Square
9371,2019,Harborside,Lafayette Park
9372,2019,Harborside,Leonard Gordon Park
9373,2019,Harborside,Liberty Light Rail
9374,2019,Harborside,Lincoln Park
9375,2019,Harborside,Manila & 1st
9376,2019,Harborside,Marin Light Rail
9377,2019,Harborside,McGinley Square
9378,2019,Harborside,Monmouth and 6th
9379,2019,Harborside,Montgomery St
9380,2019,Harborside,Morris Canal
9381,2019,Harborside,Newark Ave
9382,2019,Harborside,Newport PATH
9383,2019,Harborside,Newport Pkwy
9384,2019,Harborside,Oakland Ave
9385,2019,Harborside,Paulus Hook
9386,2019,Harborside,Pershing Field
9387,2019,Harborside,Riverview Park
9388,2019,Harborside,Sip Ave
9389,2019,Harborside,Union St
9390,2019,Harborside,Van Vorst Park
9391,2019,Harborside,Warren St
9392,2019,Harborside,Washington St
9393,2019,Harborside,York St
9394,2019,Heights Elevator,12 Ave & W 40 St
9395,2019,Heights Elevator,5 Corners Library
9396,2019,Heights Elevator,Astor Place
9397,2019,Heights Elevator,Baldwin at Montgomery
9398,2019,Heights Elevator,Bergen Ave
9399,2019,Heights Elevator,Broadway & W 56 St
9400,2019,Heights Elevator,Brunswick & 6th
9401,2019,Heights Elevator,Brunswick St
9402,2019,Heights Elevator,Christ Hospital
9403,2019,Heights Elevator,City Hall
9404,2019,Heights Elevator,Columbus Dr at Exchange Pl
9405,2019,Heights Elevator,Columbus Drive
9406,2019,Heights Elevator,Communipaw & Berry Lane
9407,2019,Heights Elevator,Dey St
9408,2019,Heights Elevator,Essex Light Rail
9409,2019,Heights Elevator,Exchange Place
9410,2019,Heights Elevator,Fairmount Ave
9411,2019,Heights Elevator,Glenwood Ave
9412,2019,Heights Elevator,Grand St
9413,2019,Heights Elevator,Grove St PATH
9414,2019,Heights Elevator,Hamilton Park
9415,2019,Heights Elevator,Harborside
9416,2019,Heights Elevator,Heights Elevator
9417,2019,Heights Elevator,Hilltop
9418,2019,Heights Elevator,Hoboken Ave at Monmouth St
9419,2019,Heights Elevator,JC Medical Center
9420,2019,Heights Elevator,JCBS Depot
9421,2019,Heights Elevator,Jackson Square
9422,2019,Heights Elevator,Jersey & 3rd
9423,2019,Heights Elevator,Jersey & 6th St
9424,2019,Heights Elevator,Journal Square
9425,2019,Heights Elevator,Lafayette Park
9426,2019,Heights Elevator,Leonard Gordon Park
9427,2019,Heights Elevator,Liberty Light Rail
9428,2019,Heights Elevator,Lincoln Park
9429,2019,Heights Elevator,Manila & 1st
9430,2019,Heights Elevator,Marin Light Rail
9431,2019,Heights Elevator,McGinley Square
9432,2019,Heights Elevator,Monmouth and 6th
9433,2019,Heights Elevator,Montgomery St
9434,2019,Heights Elevator,Morris Canal
9435,2019,Heights Elevator,Newark Ave
9436,2019,Heights Elevator,Newport PATH
9437,2019,Heights Elevator,Newport Pkwy
9438,2019,Heights Elevator,Oakland Ave
9439,2019,Heights Elevator,Paulus Hook
9440,2019,Heights Elevator,Pershing Field
9441,2019,Heights Elevator,Riverview Park
9442,2019,Heights Elevator,Sip Ave
9443,2019,Heights Elevator,Union St
9444,2019,Heights Elevator,Van Vorst Park
9445,2019,Heights Elevator,W 11 St & 6 Ave
9446,2019,Heights Elevator,W 34 St & 11 Ave
9447,2019,Heights Elevator,W 84 St & Columbus Ave
9448,2019,Heights Elevator,Warren St
9449,2019,Heights Elevator,Washington St
9450,2019,Heights Elevator,York St
9451,2019,Hilltop,5 Corners Library
9452,2019,Hilltop,Astor Place
9453,2019,Hilltop,Baldwin at Montgomery
9454,2019,Hilltop,Bergen Ave
9455,2019,Hilltop,Brunswick & 6th
9456,2019,Hilltop,Brunswick St
9457,2019,Hilltop,Christ Hospital
9458,2019,Hilltop,City Hall
9459,2019,Hilltop,Columbus Dr at Exchange Pl
9460,2019,Hilltop,Columbus Drive
9461,2019,Hilltop,Communipaw & Berry Lane
9462,2019,Hilltop,Dey St
9463,2019,Hilltop,Dixon Mills
9464,2019,Hilltop,Essex Light Rail
9465,2019,Hilltop,Exchange Place
9466,2019,Hilltop,Fairmount Ave
9467,2019,Hilltop,Glenwood Ave
9468,2019,Hilltop,Grand St
9469,2019,Hilltop,Grove St PATH
9470,2019,Hilltop,Hamilton Park
9471,2019,Hilltop,Harborside
9472,2019,Hilltop,Heights Elevator
9473,2019,Hilltop,Hilltop
9474,2019,Hilltop,Hoboken Ave at Monmouth St
9475,2019,Hilltop,JC Medical Center
9476,2019,Hilltop,JCBS Depot
9477,2019,Hilltop,Jackson Square
9478,2019,Hilltop,Jersey & 3rd
9479,2019,Hilltop,Jersey & 6th St
9480,2019,Hilltop,Journal Square
9481,2019,Hilltop,Lafayette Park
9482,2019,Hilltop,Leonard Gordon Park
9483,2019,Hilltop,Liberty Light Rail
9484,2019,Hilltop,Lincoln Park
9485,2019,Hilltop,Manila & 1st
9486,2019,Hilltop,Marin Light Rail
9487,2019,Hilltop,McGinley Square
9488,2019,Hilltop,Monmouth and 6th
9489,2019,Hilltop,Montgomery St
9490,2019,Hilltop,Morris Canal
9491,2019,Hilltop,Newark Ave
9492,2019,Hilltop,Newport PATH
9493,2019,Hilltop,Newport Pkwy
9494,2019,Hilltop,Oakland Ave
9495,2019,Hilltop,Paulus Hook
9496,2019,Hilltop,Pershing Field
9497,2019,Hilltop,Riverview Park
9498,2019,Hilltop,Sip Ave
9499,2019,Hilltop,Union St
9500,2019,Hilltop,Van Vorst Park
9501,2019,Hilltop,Warren St
9502,2019,Hilltop,Washington St
9503,2019,Hilltop,York St
9504,2019,Hoboken Ave at Monmouth St,5 Corners Library
9505,2019,Hoboken Ave at Monmouth St,Baldwin at Montgomery
9506,2019,Hoboken Ave at Monmouth St,Bergen Ave
9507,2019,Hoboken Ave at Monmouth St,Broadway & Moylan Pl
9508,2019,Hoboken Ave at Monmouth St,Brunswick & 6th
9509,2019,Hoboken Ave at Monmouth St,Brunswick St
9510,2019,Hoboken Ave at Monmouth St,Christ Hospital
9511,2019,Hoboken Ave at Monmouth St,City Hall
9512,2019,Hoboken Ave at Monmouth St,Columbus Dr at Exchange Pl
9513,2019,Hoboken Ave at Monmouth St,Columbus Drive
9514,2019,Hoboken Ave at Monmouth St,Dixon Mills
9515,2019,Hoboken Ave at Monmouth St,Essex Light Rail
9516,2019,Hoboken Ave at Monmouth St,Glenwood Ave
9517,2019,Hoboken Ave at Monmouth St,Grand St
9518,2019,Hoboken Ave at Monmouth St,Grove St PATH
9519,2019,Hoboken Ave at Monmouth St,Hamilton Park
9520,2019,Hoboken Ave at Monmouth St,Harborside
9521,2019,Hoboken Ave at Monmouth St,Heights Elevator
9522,2019,Hoboken Ave at Monmouth St,Hilltop
9523,2019,Hoboken Ave at Monmouth St,Hoboken Ave at Monmouth St
9524,2019,Hoboken Ave at Monmouth St,JC Medical Center
9525,2019,Hoboken Ave at Monmouth St,JCBS Depot
9526,2019,Hoboken Ave at Monmouth St,Jackson Square
9527,2019,Hoboken Ave at Monmouth St,Jersey & 3rd
9528,2019,Hoboken Ave at Monmouth St,Jersey & 6th St
9529,2019,Hoboken Ave at Monmouth St,Journal Square
