year,week,station,anzahl
2016,7,Oakland Ave,38
2016,7,Paulus Hook,72
2016,7,Pershing Field,40
2016,7,Riverview Park,19
2016,7,Sip Ave,171
2016,7,Union St,5
2016,7,Van Vorst Park,106
2016,7,Warren St,66
2016,7,West Side Light Rail,3
2016,8,5 Corners Library,26
2016,8,Baldwin at Montgomery,40
2016,8,Brunswick St,138
2016,8,Central Ave,33
2016,8,Christ Hospital,43
2016,8,City Hall,74
2016,8,Dey St,16
2016,8,Essex Light Rail,97
2016,8,Exchange Place,137
2016,8,Garfield Ave Station,6
2016,8,Grove St PATH,277
2016,8,Hamilton Park,191
2016,8,Heights Elevator,24
2016,8,Hilltop,21
2016,8,JC Medical Center,55
2016,8,Liberty Light Rail,59
2016,8,Lincoln Park,29
2016,8,MLK Light Rail,5
2016,8,McGinley Square,97
2016,8,NJCU,5
2016,8,Newark Ave,120
2016,8,Newport PATH,121
2016,8,Newport Pkwy,80
2016,8,North St,22
2016,8,Oakland Ave,44
2016,8,Paulus Hook,75
2016,8,Pershing Field,55
2016,8,Riverview Park,25
2016,8,Sip Ave,180
2016,8,Union St,5
2016,8,Van Vorst Park,100
2016,8,Warren St,72
2016,8,West Side Light Rail,1
2016,9,5 Corners Library,36
2016,9,Baldwin at Montgomery,38
2016,9,Bayside Park,5
2016,9,Brunswick St,143
2016,9,Central Ave,25
2016,9,Christ Hospital,37
2016,9,City Hall,78
2016,9,Columbia Park,2
2016,9,Dey St,31
2016,9,Essex Light Rail,88
2016,9,Exchange Place,145
2016,9,Garfield Ave Station,8
2016,9,Grove St PATH,279
2016,9,Hamilton Park,195
2016,9,Heights Elevator,14
2016,9,Hilltop,28
2016,9,JC Medical Center,48
2016,9,Liberty Light Rail,53
2016,9,Lincoln Park,43
2016,9,MLK Light Rail,10
2016,9,McGinley Square,88
2016,9,NJCU,4
2016,9,Newark Ave,113
2016,9,Newport PATH,140
2016,9,Newport Pkwy,59
2016,9,North St,13
2016,9,Oakland Ave,51
2016,9,Paulus Hook,69
2016,9,Pershing Field,41
2016,9,Riverview Park,22
2016,9,Sip Ave,199
